,lineup,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,lineup,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
21,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'OKADO,MARJOK', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,0.0,0.0,0.0,81.0,3.0,5.0,112.0,2.0,3.0,193.0,5.0,8.0
22,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN')",31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0
23,"('DOREY-HAVENS,AUBREY', 'LATIFF,WAZIR', 'MILON,EMANUEL', 'SERAPHIN,REGINALD JEAN', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,5.0,0.0
24,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SERAPHIN,REGINALD JEAN')",0.0,0.0,0.0,102.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,2.0,2.0
25,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
26,"('DOREY-HAVENS,AUBREY', 'MILON,EMANUEL', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,23.0,1.0,2.0
27,"('DOREY-HAVENS,AUBREY', 'OKADO,MARJOK', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH', 'SMITH,DANIEL')",0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,2.0
28,"('LATIFF,WAZIR', 'MILON,EMANUEL', 'RILEY,BEN', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",71.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2.0,1.0
29,"('LATIFF,WAZIR', 'OKADO,MARJOK', 'SIMPSON,NOAH', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,3.0,3.0,68.0,3.0,3.0
30,"('LATIFF,WAZIR', 'SERAPHIN,REGINALD JEAN', 'SIMPSON,NOAH', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,3.0
31,"('MILON,EMANUEL', 'OKADO,MARJOK', 'RANDRIASALAMA,TO', 'SERAPHIN,REGINALD JEAN', 'SPENCER,XAVIER')",0.0,0.0,0.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0
