,lineup,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'JEAN-SERAPHIN,R', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'JEAN-SERAPHIN,R', 'SMITH,DANIEL', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL')",0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1
3,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'RILEY,BEN')",2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
4,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
5,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SPENCER,XAVIER')",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,"('CHRISTOPHER,NATHAN', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL')",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,"('JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'RILEY,BEN', 'UGBAH,EMMANUEL')",0,0,1,1,1,0,0,0,1,0,4,1,0,1,2,1
8,"('JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",0,2,1,1,1,0,0,2,0,2,2,0,0,0,0,0
